type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
apartmentBuilding,31.0,2.0,3.0,4.0,2023.0,53.3932827,14.4832796,6.14,0.0,1.884,3.478,0.855,1.809,0.791,4.356,0.838,condominium,no,yes,yes,no,no,439000
blockOfFlats,71.24,3.0,4.0,5.0,1994.0,53.45152145,14.53832738,3.47,9.0,0.291,0.492,0.546,0.14,0.091,1.141,0.167,cooperative,no,yes,no,no,yes,619000
blockOfFlats,73.77,4.0,3.0,4.0,1990.0,53.4545327,14.5426496,3.67,9.0,0.415,0.636,0.391,0.143,0.371,1.571,0.342,condominium,no,yes,no,no,yes,599000
apartmentBuilding,48.15,3.0,3.0,4.0,2011.0,53.4246294,14.4876311,4.86,10.0,0.307,0.347,0.209,0.393,0.36,2.962,0.21,condominium,yes,yes,yes,no,yes,637000
blockOfFlats,42.0,2.0,8.0,10.0,1980.0,53.4546599,14.486451,6.04,10.0,0.216,1.897,0.654,0.178,0.802,3.24,0.12,cooperative,yes,yes,yes,no,yes,449000
blockOfFlats,52.92,2.0,4.0,4.0,1987.0,53.4240801,14.48198032,5.23,3.0,0.513,0.715,0.301,0.771,0.289,3.322,0.083,condominium,no,yes,no,no,yes,449000
blockOfFlats,47.88,2.0,2.0,4.0,1969.0,53.4041118,14.5235129,3.28,10.0,0.286,0.613,0.508,0.113,0.192,1.829,0.146,cooperative,no,no,no,no,yes,399000
tenement,53.55,2.0,1.0,3.0,1910.0,53.425594,14.540169,1.4,37.0,0.204,0.55,0.315,0.5,0.142,0.478,0.208,condominium,no,no,no,no,yes,437000
blockOfFlats,41.73,2.0,4.0,4.0,2023.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,yes,yes,yes,no,no,579000
blockOfFlats,36.71,2.0,6.0,10.0,1970.0,53.4281122,14.5531989,0.73,59.0,0.296,0.296,0.246,0.199,0.018,0.577,0.084,condominium,yes,yes,yes,no,yes,459000
tenement,100.52,3.0,3.0,3.0,1920.0,53.4295256,14.5531763,0.85,64.0,0.188,0.36,0.353,0.14,0.046,0.562,0.08,condominium,no,yes,no,no,yes,699000
apartmentBuilding,57.07,3.0,9.0,18.0,2009.0,53.4551,14.5616,3.53,16.0,0.375,0.197,0.136,0.44,0.005,1.399,0.135,condominium,no,yes,yes,yes,no,650000
blockOfFlats,32.0,1.0,4.0,10.0,2017.0,53.4572067,14.5422931,3.96,4.0,0.4,0.675,0.509,0.361,0.433,1.824,0.507,condominium,no,yes,yes,no,no,449000
blockOfFlats,46.73,2.0,4.0,11.0,1980.0,53.3980728,14.5247091,3.7,6.0,0.134,1.176,0.071,0.115,0.024,2.463,0.076,condominium,no,no,yes,no,yes,449000
blockOfFlats,70.18,3.0,2.0,4.0,2017.0,53.418611,14.549722,0.92,11.0,0.371,0.319,0.225,0.63,0.323,1.208,0.359,condominium,no,yes,yes,no,yes,769000
blockOfFlats,62.4,4.0,3.0,4.0,1976.0,53.4583785,14.5328094,4.31,8.0,0.38,0.416,0.3,0.374,0.289,1.792,0.379,cooperative,yes,yes,no,no,yes,485000
apartmentBuilding,28.2,1.0,5.0,6.0,2012.0,53.4225,14.5406,1.35,19.0,0.124,0.64,0.147,0.487,0.151,0.666,0.121,condominium,yes,no,yes,no,no,440000
apartmentBuilding,90.44,4.0,8.0,8.0,2020.0,53.4580702,14.5429308,4.04,5.0,0.483,0.757,0.581,0.435,0.358,1.929,0.477,condominium,yes,yes,yes,no,no,1200000
blockOfFlats,37.0,2.0,6.0,10.0,1970.0,53.4285743,14.5525716,0.8,66.0,0.294,0.272,0.263,0.241,0.081,0.608,0.097,cooperative,no,yes,yes,no,yes,459000
tenement,77.71,3.0,3.0,3.0,1925.0,53.4330962,14.5686108,1.19,9.0,0.577,0.918,0.288,0.308,0.135,0.621,0.422,condominium,no,no,no,no,yes,599000
apartmentBuilding,105.0,4.0,3.0,4.0,2016.0,53.4274747,14.4872832,4.9,5.0,0.622,0.528,0.217,0.451,0.631,3.057,0.435,condominium,no,yes,yes,no,no,1199999
blockOfFlats,52.7,3.0,1.0,4.0,1977.0,53.456111,14.493056,5.78,12.0,0.394,1.766,0.21,0.152,0.676,2.931,0.224,cooperative,no,yes,no,no,yes,450000
blockOfFlats,60.0,2.0,3.0,4.0,1970.0,53.4243973559952,14.5529966398226,0.54,67.0,0.248,0.343,0.212,0.077,0.131,0.795,0.089,condominium,yes,yes,no,no,yes,590000
