type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
blockOfFlats,53.0,2.0,3.0,6.0,2019.0,52.24195,20.89847,7.25,15.0,0.688,0.125,0.679,0.224,0.084,2.881,0.081,condominium,no,yes,yes,yes,no,899000
blockOfFlats,55.2,3.0,4.0,9.0,2000.0,52.1437712,21.0579468,10.46,34.0,0.232,0.234,0.226,0.22,0.089,0.811,0.097,cooperative,no,yes,yes,no,no,1047000
blockOfFlats,29.0,1.0,11.0,16.0,2008.0,52.22359,21.09753,6.46,16.0,0.267,0.446,0.155,0.15,0.374,1.985,0.251,condominium,no,no,yes,yes,no,550000
blockOfFlats,61.1,3.0,3.0,3.0,1988.0,52.31589,20.95516,9.92,13.0,0.288,0.724,0.106,0.164,0.354,0.275,0.198,condominium,no,yes,no,no,no,800000
tenement,50.12,2.0,5.0,6.0,1950.0,52.2170382,21.0164525,1.85,40.0,0.182,0.233,0.254,0.16,0.105,0.546,0.129,condominium,no,no,yes,no,yes,1100000
tenement,76.3,4.0,1.0,3.0,1936.0,52.19693,21.02456,4.12,26.0,0.411,0.471,0.505,0.206,0.051,1.372,0.019,condominium,no,yes,no,yes,no,1297100
blockOfFlats,55.96,3.0,3.0,3.0,2015.0,52.2472991,20.9240457,5.68,14.0,0.547,0.364,0.434,0.261,0.431,1.119,0.479,condominium,yes,yes,yes,no,yes,1100000
apartmentBuilding,55.2,2.0,1.0,4.0,2000.0,52.2923241,20.94023359,8.0,20.0,0.22,0.052,0.339,0.154,0.273,1.36,0.208,cooperative,yes,yes,no,no,no,864000
apartmentBuilding,26.22,1.0,1.0,5.0,2019.0,52.2770371,21.046392,5.82,18.0,0.35,0.852,0.554,0.201,0.105,0.948,0.11,condominium,yes,yes,yes,yes,no,590000
apartmentBuilding,82.0,4.0,4.0,10.0,2023.0,52.1695888,20.9975349,6.92,16.0,0.323,0.415,0.086,0.235,0.077,2.547,0.548,condominium,yes,yes,yes,yes,no,1420000
blockOfFlats,48.0,3.0,3.0,4.0,1960.0,52.2608246,20.9682856,4.03,33.0,0.238,0.099,0.303,0.095,0.236,0.546,0.39,cooperative,yes,yes,no,no,yes,895000
apartmentBuilding,65.0,3.0,2.0,3.0,2023.0,52.15535,21.08328,10.08,8.0,0.613,1.897,0.915,0.101,0.092,1.998,0.179,condominium,no,yes,yes,yes,no,1625000
apartmentBuilding,53.4,2.0,13.0,16.0,2006.0,52.2328158,21.07642057,4.96,18.0,0.25,0.665,0.417,0.139,0.198,0.545,0.203,condominium,yes,yes,yes,no,no,950000
apartmentBuilding,43.29,2.0,2.0,2.0,2016.0,52.1616086,21.1246899,11.35,0.0,2.299,4.759,1.058,1.77,0.988,4.348,1.062,condominium,no,yes,yes,no,no,890000
tenement,40.5,2.0,3.0,4.0,1956.0,52.25147,21.00666,2.21,71.0,0.122,0.496,0.445,0.186,0.054,0.424,0.231,condominium,no,no,no,no,yes,997000
blockOfFlats,59.67,3.0,1.0,6.0,2011.0,52.2537179,20.91165874,6.72,4.0,0.592,0.672,0.913,0.412,0.325,2.137,0.139,condominium,yes,yes,yes,no,no,899000
blockOfFlats,79.5,3.0,1.0,3.0,2002.0,52.2366422,21.12369143,8.2,10.0,0.285,1.191,0.742,0.181,0.312,1.052,0.234,condominium,yes,yes,no,no,yes,985000
blockOfFlats,36.8,2.0,9.0,10.0,1980.0,52.18353,21.05679,6.47,20.0,0.146,0.883,0.447,0.158,0.427,3.693,0.11,condominium,no,yes,yes,no,no,699000
blockOfFlats,51.9,4.0,2.0,4.0,1979.0,52.29206,21.04151,7.19,23.0,0.441,0.22,0.466,0.332,0.202,2.29,0.197,condominium,no,yes,no,no,yes,720000
blockOfFlats,57.8,2.0,5.0,5.0,2023.0,52.24037,21.10819,7.19,23.0,0.376,0.634,0.496,0.11,0.361,0.098,0.443,condominium,no,yes,yes,no,no,899000
apartmentBuilding,82.04,3.0,8.0,15.0,2004.0,52.2212322,20.9843187,1.75,31.0,0.098,0.354,0.104,0.393,0.048,1.051,0.073,condominium,no,no,yes,no,no,1500000
blockOfFlats,48.0,2.0,8.0,10.0,1980.0,52.1499087,21.0349049,9.34,17.0,0.284,0.485,0.424,0.274,0.14,0.635,0.248,cooperative,yes,yes,yes,no,yes,728000
blockOfFlats,42.0,2.0,2.0,10.0,1976.0,52.181508,21.0528021,6.51,14.0,0.332,0.728,0.438,0.155,0.398,3.459,0.09,condominium,no,yes,no,no,yes,609000
blockOfFlats,56.1,2.0,3.0,4.0,2008.0,52.32153652,21.05652868,10.62,15.0,0.432,3.562,0.364,0.168,0.195,4.232,0.171,condominium,yes,yes,no,no,yes,756789
blockOfFlats,52.8,3.0,6.0,10.0,1974.0,52.282206,21.0256222,5.81,10.0,0.419,0.707,0.921,0.281,0.215,2.157,0.235,condominium,no,yes,yes,no,no,815000
blockOfFlats,54.81,3.0,5.0,10.0,1976.0,52.2750323,20.92402225,7.25,14.0,0.48,0.893,0.137,0.131,0.03,1.085,0.157,cooperative,no,no,yes,no,no,737373
tenement,80.95,4.0,2.0,2.0,1930.0,52.244226,21.075726,5.11,44.0,0.218,0.949,0.345,0.359,0.25,0.206,0.15,condominium,no,yes,no,no,yes,1538000
apartmentBuilding,50.01,2.0,2.0,3.0,2017.0,52.20284,20.95315,4.7,9.0,0.282,0.827,0.13,0.152,0.127,1.622,0.235,condominium,no,yes,yes,yes,no,1099000
apartmentBuilding,79.44,3.0,5.0,7.0,2007.0,52.20304,21.01056,3.22,29.0,0.378,0.338,0.283,0.232,0.138,0.639,0.168,condominium,no,no,yes,no,no,1685000
apartmentBuilding,49.24,2.0,9.0,10.0,2012.0,52.2347,20.95962,3.01,23.0,0.18,0.057,0.471,0.084,0.11,1.343,0.052,condominium,no,no,yes,no,no,1100000
blockOfFlats,33.75,1.0,4.0,11.0,1964.0,52.24634,21.00585,1.63,52.0,0.176,0.107,0.299,0.055,0.073,0.324,0.345,condominium,no,yes,yes,no,yes,770000
blockOfFlats,37.0,2.0,4.0,4.0,2020.0,52.30581,20.97684,8.44,9.0,0.285,1.818,0.84,0.065,0.421,1.595,0.416,condominium,no,yes,yes,yes,no,595000
blockOfFlats,56.3,3.0,7.0,7.0,2008.0,52.1912,20.9055,8.06,22.0,0.23,3.109,0.09,0.332,0.101,4.717,0.097,condominium,yes,yes,yes,yes,no,845000
apartmentBuilding,47.04,2.0,1.0,6.0,2010.0,52.201334,21.039566,4.17,22.0,0.05,0.365,0.221,0.272,0.166,1.799,0.211,condominium,yes,no,yes,no,no,940000
blockOfFlats,78.0,3.0,4.0,12.0,1985.0,52.2253825,21.09415768,6.21,23.0,0.279,0.191,0.442,0.042,0.182,1.686,0.192,condominium,no,yes,yes,no,yes,1050000
apartmentBuilding,67.56,3.0,1.0,8.0,2023.0,52.2759619,21.01727546,5.01,1.0,0.444,1.602,1.626,0.719,1.034,1.341,0.629,condominium,no,no,yes,no,no,1090000
blockOfFlats,29.0,1.0,11.0,16.0,2008.0,52.22421995,21.09330656,6.17,23.0,0.382,0.327,0.445,0.166,0.295,1.758,0.058,condominium,yes,yes,yes,no,no,550000
apartmentBuilding,71.0,3.0,2.0,4.0,2017.0,52.1547875,21.07232935,9.75,9.0,0.288,1.158,0.687,0.377,0.488,1.408,0.11,condominium,no,yes,yes,no,no,1400000
blockOfFlats,51.75,3.0,5.0,7.0,1969.0,52.2149159,20.9794495,2.49,22.0,0.254,0.525,0.054,0.166,0.169,0.489,0.15,condominium,no,no,yes,no,no,980000
tenement,105.1,5.0,3.0,3.0,1927.0,52.2664853,20.98948,3.98,25.0,0.203,0.473,0.219,0.205,0.155,0.165,0.207,cooperative,no,no,no,yes,yes,2312200
tenement,54.0,3.0,4.0,4.0,1956.0,52.2352344,21.0168793,0.99,122.0,0.233,0.129,0.419,0.067,0.097,0.362,0.113,condominium,no,no,no,no,yes,1380000
tenement,50.0,2.0,2.0,5.0,1957.0,52.2062,21.0473,4.11,16.0,0.363,0.496,0.399,0.359,0.32,2.178,0.119,condominium,no,no,no,no,yes,825000
apartmentBuilding,50.0,2.0,3.0,6.0,2019.0,52.24326815,20.89750997,7.33,14.0,0.847,0.286,0.832,0.235,0.141,2.928,0.135,condominium,yes,yes,yes,no,no,899000
blockOfFlats,43.0,2.0,2.0,6.0,2000.0,52.2272,21.0928,6.1,20.0,0.369,0.106,0.281,0.144,0.04,1.47,0.036,condominium,yes,yes,yes,no,no,740000
blockOfFlats,37.0,2.0,3.0,8.0,1967.0,52.2351637,20.9927079,0.83,89.0,0.193,0.119,0.281,0.147,0.059,0.756,0.092,condominium,no,yes,yes,no,no,925000
blockOfFlats,67.06,3.0,2.0,7.0,2004.0,52.13146,21.06518,11.91,46.0,0.082,0.165,0.353,0.083,0.068,0.956,0.105,condominium,no,yes,yes,no,no,1299000
blockOfFlats,47.2,2.0,8.0,10.0,1978.0,52.27199,21.05904,5.86,19.0,0.316,1.339,0.476,0.104,0.178,0.309,0.4,condominium,no,yes,yes,no,yes,720000
blockOfFlats,82.0,4.0,3.0,3.0,1989.0,52.2283391,21.10212124,6.72,18.0,0.153,0.548,0.305,0.082,0.25,1.449,0.362,condominium,no,yes,no,no,yes,1190000
blockOfFlats,26.58,1.0,2.0,6.0,2016.0,52.22131225,20.93498383,4.81,24.0,0.227,0.04,0.423,0.073,0.041,0.86,0.081,condominium,no,yes,yes,no,no,569000
blockOfFlats,45.12,2.0,1.0,3.0,2019.0,52.3321189,20.97396664,11.34,8.0,0.212,1.185,0.392,0.249,0.297,2.487,0.288,condominium,yes,no,yes,no,no,750000
apartmentBuilding,101.0,3.0,4.0,10.0,2011.0,52.18822896,20.99395138,4.88,26.0,0.365,0.405,0.288,0.295,0.056,0.779,0.31,condominium,yes,yes,yes,no,no,2890000
blockOfFlats,63.4,3.0,7.0,8.0,1980.0,52.17169745,21.06941997,8.04,13.0,0.181,1.008,0.413,0.213,0.135,2.621,0.157,condominium,no,yes,yes,no,no,945000
blockOfFlats,29.0,1.0,4.0,8.0,2021.0,52.22451,20.94074,4.35,41.0,0.423,0.191,0.12,0.103,0.041,0.335,0.325,condominium,no,yes,yes,yes,no,695000
tenement,63.0,2.0,5.0,5.0,1955.0,52.21738,21.01907,1.91,49.0,0.2,0.051,0.076,0.126,0.028,0.652,0.107,condominium,no,no,yes,yes,yes,1379700
blockOfFlats,28.0,2.0,6.0,11.0,1970.0,52.2863196,21.03129506,6.36,20.0,0.176,0.124,0.42,0.25,0.278,2.327,0.106,condominium,no,no,yes,no,yes,628000
blockOfFlats,56.0,3.0,2.0,5.0,1954.0,52.2177275,21.01991231,1.91,53.0,0.142,0.031,0.008,0.153,0.088,0.679,0.12,condominium,no,no,yes,no,no,1562000
blockOfFlats,74.0,3.0,1.0,4.0,2000.0,52.28679,21.02526,6.3,23.0,0.135,0.381,0.471,0.081,0.111,2.446,0.24,condominium,no,yes,no,yes,no,960000
apartmentBuilding,48.4,3.0,4.0,5.0,2024.0,52.1914,20.92794,6.83,2.0,1.206,2.132,1.442,0.735,0.411,3.711,1.059,condominium,no,yes,yes,no,no,724999
blockOfFlats,35.05,2.0,1.0,8.0,2023.0,52.23058,21.09984,6.56,18.0,0.191,0.375,0.427,0.258,0.315,1.292,0.416,condominium,no,yes,yes,no,no,594000
blockOfFlats,41.0,2.0,2.0,10.0,1967.0,52.18724,21.01554,5.01,16.0,0.388,0.351,0.594,0.365,0.043,0.999,0.136,condominium,no,yes,yes,no,no,750000
blockOfFlats,50.6,3.0,2.0,11.0,1987.0,52.23768,20.9891,1.19,77.0,0.165,0.412,0.284,0.377,0.039,0.591,0.147,condominium,no,no,yes,no,yes,1110000
blockOfFlats,72.9,3.0,3.0,4.0,1979.0,52.1502146,21.0408464,9.41,22.0,0.079,0.393,0.427,0.132,0.204,0.541,0.096,condominium,no,no,no,no,yes,1170000
blockOfFlats,50.0,3.0,2.0,4.0,1960.0,52.26582,20.97027,4.42,13.0,0.111,0.219,0.627,0.238,0.354,0.521,0.309,condominium,no,yes,yes,no,yes,1099000
blockOfFlats,40.0,2.0,3.0,6.0,2009.0,52.2442273,20.9624946,3.12,20.0,0.225,0.615,0.629,0.044,0.086,1.29,0.076,condominium,yes,no,yes,no,no,800000
tenement,85.55,4.0,3.0,4.0,1930.0,52.22969195,21.01843519,1.04,120.0,0.234,0.392,0.2,0.151,0.051,0.313,0.179,condominium,no,no,no,no,yes,1800000
blockOfFlats,52.0,2.0,2.0,3.0,1956.0,52.1828415,20.97714209,5.72,6.0,0.227,0.989,0.062,0.702,0.136,2.068,0.132,cooperative,no,yes,no,no,yes,698000
blockOfFlats,64.0,3.0,4.0,4.0,1997.0,52.194533,20.8702387,9.98,15.0,0.26,3.342,0.083,0.121,0.266,4.818,0.095,cooperative,yes,yes,no,no,no,915000
blockOfFlats,48.5,2.0,1.0,2.0,2000.0,52.21746625,21.23640462,15.94,15.0,0.272,0.202,0.127,0.114,0.105,1.425,0.11,condominium,no,yes,no,no,yes,595000
blockOfFlats,32.2,1.0,4.0,10.0,1990.0,52.2836712,20.974601,6.1,21.0,0.286,0.953,0.233,0.027,0.098,1.59,0.061,cooperative,no,yes,yes,no,yes,570000
blockOfFlats,52.0,2.0,3.0,10.0,1980.0,52.2306,21.05781,3.7,46.0,0.194,0.29,0.092,0.303,0.13,0.432,0.062,condominium,no,yes,yes,no,no,970000
tenement,39.0,2.0,4.0,5.0,1952.0,52.23681,20.96485,2.7,46.0,0.207,0.315,0.256,0.143,0.104,1.763,0.005,condominium,no,no,yes,no,yes,845000
blockOfFlats,74.4,3.0,3.0,5.0,2010.0,52.20881,20.9652,3.65,15.0,0.062,0.573,0.654,0.152,0.17,0.676,0.118,cooperative,yes,yes,yes,no,no,1659000
tenement,121.0,4.0,3.0,4.0,1906.0,52.2296756,21.0122287,0.63,113.0,0.243,0.131,0.26,0.274,0.059,0.229,0.142,condominium,no,yes,no,no,no,2550000
blockOfFlats,135.0,4.0,3.0,4.0,2000.0,52.14085,21.05659,10.73,33.0,0.409,0.12,0.065,0.399,0.192,1.09,0.094,condominium,no,yes,no,yes,no,1849000
blockOfFlats,62.95,3.0,1.0,7.0,2014.0,52.22224,20.93743,4.63,27.0,0.217,0.15,0.228,0.084,0.155,0.666,0.116,condominium,no,yes,yes,yes,no,1249000
blockOfFlats,27.16,2.0,3.0,7.0,2020.0,52.18477,21.01024,5.24,17.0,0.239,0.399,0.464,0.373,0.216,0.952,0.357,condominium,no,no,yes,no,no,679000
blockOfFlats,31.0,1.0,4.0,10.0,1970.0,52.1748,21.01589,6.38,11.0,0.39,0.445,0.508,0.461,0.357,2.117,0.161,condominium,no,yes,yes,no,yes,581000
apartmentBuilding,112.29,5.0,1.0,3.0,2023.0,52.23365772,20.91751562,5.86,10.0,0.404,0.406,0.558,0.179,0.211,2.051,0.531,condominium,yes,yes,yes,no,no,2049000
tenement,37.0,2.0,2.0,3.0,1958.0,52.28292,20.94198,7.07,21.0,0.163,0.373,0.41,0.167,0.18,0.645,0.234,condominium,no,yes,no,no,yes,688000
apartmentBuilding,96.0,4.0,5.0,9.0,2024.0,52.1832877,21.0023587,5.39,23.0,0.455,0.206,0.403,0.296,0.107,0.995,0.227,condominium,yes,yes,yes,no,no,1939149
blockOfFlats,25.88,1.0,2.0,5.0,2024.0,52.2483964,21.0470427,3.49,14.0,0.098,0.836,0.194,0.62,0.217,0.327,0.344,condominium,no,no,yes,no,no,644412
blockOfFlats,51.5,3.0,3.0,4.0,2022.0,52.30042,21.01082,7.66,0.0,0.637,0.855,1.125,1.059,0.656,3.27,0.851,condominium,no,no,yes,yes,no,827000
tenement,60.8,4.0,3.0,3.0,1953.0,52.2489,21.0119,1.99,82.0,0.16,0.512,0.044,0.488,0.015,0.169,0.05,condominium,no,no,no,yes,no,1700000
blockOfFlats,42.0,2.0,5.0,10.0,1975.0,52.1711368,21.0034779,6.74,23.0,0.124,0.39,0.483,0.202,0.355,2.344,0.249,condominium,yes,yes,yes,no,yes,640000
blockOfFlats,41.25,2.0,2.0,4.0,1951.0,52.23466,20.96951,2.34,33.0,0.151,0.168,0.232,0.147,0.031,1.855,0.118,condominium,no,no,yes,no,yes,678999
blockOfFlats,54.5,4.0,3.0,4.0,1970.0,52.2951588,21.0337271,7.35,20.0,0.279,0.714,0.166,0.102,0.18,2.879,0.012,condominium,yes,yes,no,no,yes,749000
blockOfFlats,49.4,2.0,2.0,7.0,2005.0,52.19556,20.86076,10.53,6.0,0.205,3.676,0.168,0.3,0.156,4.489,0.561,condominium,no,yes,yes,no,no,765000
blockOfFlats,45.13,2.0,3.0,6.0,2018.0,52.23207901,21.08763879,5.73,9.0,0.514,0.439,0.443,0.35,0.359,0.831,0.365,condominium,yes,yes,yes,yes,no,880000
apartmentBuilding,90.0,3.0,5.0,5.0,2023.0,52.2463,21.0695,4.77,22.0,0.285,0.478,0.531,0.366,0.162,0.523,0.108,condominium,yes,yes,yes,no,no,2700000
blockOfFlats,56.8,3.0,3.0,15.0,1978.0,52.2933234,20.928664,8.54,10.0,0.384,0.756,0.882,0.356,0.402,1.927,0.246,condominium,yes,yes,no,no,no,749760
blockOfFlats,46.0,3.0,1.0,12.0,1966.0,52.23193,20.99566,0.54,75.0,0.259,0.117,0.138,0.302,0.005,0.967,0.071,condominium,no,yes,yes,no,yes,1020000
tenement,64.2,4.0,6.0,8.0,1962.0,52.21898,21.0222,1.9,49.0,0.046,0.235,0.201,0.036,0.166,0.77,0.246,condominium,yes,yes,yes,no,yes,1280000
blockOfFlats,56.2,3.0,6.0,10.0,1976.0,52.17697,21.0518,6.92,12.0,0.167,0.568,0.605,0.265,0.376,2.956,0.239,condominium,no,yes,yes,no,yes,879000
blockOfFlats,57.27,3.0,2.0,5.0,2013.0,52.3177,20.99725,9.57,4.0,1.251,1.876,1.494,0.011,1.058,3.044,0.353,condominium,no,yes,yes,no,no,850000
blockOfFlats,37.7,2.0,1.0,4.0,1970.0,52.1933,21.013,4.32,27.0,0.219,0.377,0.089,0.025,0.157,0.669,0.032,cooperative,no,yes,no,no,yes,670000
blockOfFlats,48.0,3.0,9.0,10.0,1980.0,52.2360078287024,21.0815308391214,5.33,29.0,0.222,0.239,0.127,0.268,0.251,0.228,0.22,condominium,no,yes,yes,no,yes,760000
blockOfFlats,76.4,3.0,3.0,12.0,2001.0,52.22254,21.08818,5.85,14.0,0.292,0.658,0.557,0.124,0.148,1.552,0.047,condominium,no,no,yes,yes,no,995000
apartmentBuilding,45.0,2.0,7.0,17.0,2018.0,52.2444504,21.0866386,5.83,49.0,0.422,0.673,0.22,0.174,0.144,0.42,0.16,condominium,no,yes,yes,no,no,890000
blockOfFlats,51.0,3.0,2.0,3.0,1970.0,52.2046,20.98284,3.33,9.0,0.382,0.43,0.298,0.077,0.32,0.806,0.294,condominium,no,no,no,no,no,948000
blockOfFlats,59.2,3.0,6.0,10.0,1973.0,52.29783,21.04197,7.8,16.0,0.098,0.836,0.225,0.165,0.35,2.62,0.186,condominium,no,yes,yes,no,no,885000
apartmentBuilding,55.03,2.0,1.0,6.0,2017.0,52.25989,20.96592,4.05,37.0,0.25,0.057,0.124,0.019,0.188,0.735,0.234,condominium,no,no,yes,yes,no,1370000
blockOfFlats,53.0,3.0,3.0,7.0,2020.0,52.17551,20.99492,6.28,31.0,0.531,0.254,0.611,0.467,0.161,1.945,0.246,condominium,no,no,yes,yes,no,1165000
apartmentBuilding,55.03,2.0,1.0,6.0,2017.0,52.24986,20.97876,2.63,22.0,0.094,0.46,0.601,0.016,0.175,0.062,0.361,condominium,no,no,yes,yes,no,1370000
apartmentBuilding,81.0,3.0,10.0,11.0,2013.0,52.17495,20.99495,6.34,31.0,0.488,0.283,0.549,0.493,0.117,2.004,0.285,condominium,no,yes,yes,yes,no,1799999
blockOfFlats,26.4,2.0,8.0,15.0,1971.0,52.23761,20.992,1.02,75.0,0.252,0.249,0.348,0.208,0.071,0.502,0.16,condominium,no,no,yes,no,no,667000
blockOfFlats,50.0,3.0,1.0,4.0,1970.0,52.29579,21.03417,7.42,21.0,0.25,0.79,0.241,0.132,0.241,2.916,0.06,condominium,no,yes,no,no,no,815000
tenement,92.0,4.0,4.0,6.0,1911.0,52.22626445,20.99745252,0.73,51.0,0.458,0.12,0.43,0.298,0.096,0.84,0.112,condominium,no,yes,yes,no,yes,1999000
blockOfFlats,56.18,2.0,5.0,8.0,2008.0,52.243723,20.90975362,6.53,9.0,0.695,0.474,0.68,0.319,0.302,2.094,0.304,condominium,no,yes,yes,no,no,1110000
blockOfFlats,50.0,3.0,3.0,3.0,1974.0,52.1902067,21.05019651,5.6,8.0,0.388,0.368,0.125,0.107,0.189,3.081,0.188,condominium,no,yes,no,no,yes,739000
tenement,61.0,2.0,2.0,6.0,1911.0,52.22626445,20.99745252,0.73,51.0,0.458,0.12,0.43,0.298,0.096,0.84,0.112,condominium,no,yes,yes,no,yes,1200000
apartmentBuilding,44.64,2.0,2.0,6.0,2023.0,52.1840149,21.01453616,5.36,15.0,0.286,0.604,0.385,0.293,0.149,1.189,0.055,condominium,no,yes,yes,no,no,894829
blockOfFlats,37.5,2.0,1.0,4.0,1965.0,52.1943348,20.9637824,4.96,14.0,0.254,1.066,0.379,0.161,0.179,2.286,0.639,cooperative,no,no,no,no,yes,579000
tenement,92.0,4.0,4.0,4.0,1957.0,52.19599,21.01333,4.03,31.0,0.358,0.429,0.246,0.129,0.055,0.799,0.179,condominium,no,no,yes,no,yes,1489000
blockOfFlats,63.0,3.0,2.0,6.0,1985.0,52.2277,21.10405,6.86,17.0,0.229,0.665,0.201,0.1,0.164,1.477,0.279,condominium,no,yes,yes,no,yes,849000
blockOfFlats,25.0,1.0,5.0,10.0,1967.0,52.22682,21.04296,2.74,11.0,0.452,1.258,0.739,0.152,0.094,0.677,0.237,condominium,no,yes,yes,yes,no,560000
blockOfFlats,40.4,2.0,8.0,8.0,1999.0,52.25682,20.92641,5.95,14.0,0.259,0.324,0.64,0.182,0.525,1.543,0.328,condominium,no,yes,yes,no,yes,629000
blockOfFlats,48.2,2.0,10.0,10.0,1970.0,52.2386942,20.98572308,1.44,71.0,0.072,0.425,0.293,0.218,0.132,0.69,0.157,condominium,no,yes,yes,no,yes,1026660
blockOfFlats,47.0,3.0,4.0,5.0,1970.0,52.26939945,20.94421951,5.82,17.0,0.525,0.831,0.436,0.17,0.307,0.751,0.194,condominium,no,yes,no,no,yes,846000
blockOfFlats,50.0,2.0,4.0,4.0,1998.0,52.24345,21.11058,7.4,15.0,0.173,0.318,0.607,0.192,0.477,0.331,0.559,condominium,no,no,yes,no,no,899000
blockOfFlats,51.6,3.0,1.0,9.0,1960.0,52.2321019,21.01209005,0.58,104.0,0.208,0.16,0.173,0.323,0.014,0.211,0.079,condominium,no,yes,yes,no,yes,1200000
tenement,36.0,2.0,2.0,4.0,1900.0,52.2362324,20.96791996,2.48,40.0,0.048,0.334,0.287,0.062,0.18,1.734,0.211,condominium,no,no,no,no,yes,720000
tenement,46.16,3.0,1.0,2.0,1936.0,52.2389705,21.1037599,6.87,37.0,0.193,0.402,0.454,0.163,0.21,0.435,0.172,condominium,no,no,no,no,no,845000
blockOfFlats,39.0,2.0,12.0,15.0,1976.0,52.2450237,20.9910294,1.71,44.0,0.176,0.489,0.462,0.121,0.043,0.182,0.138,cooperative,no,no,yes,no,yes,799000
blockOfFlats,42.76,2.0,1.0,5.0,2008.0,52.1336714,21.06485865,11.68,43.0,0.238,0.219,0.193,0.035,0.099,0.786,0.062,condominium,no,yes,yes,no,no,855000
blockOfFlats,78.5,4.0,1.0,6.0,2018.0,52.2420584,20.9072998,6.66,14.0,0.757,0.506,0.629,0.251,0.304,2.287,0.232,condominium,yes,yes,yes,no,no,1495000
blockOfFlats,36.7,2.0,2.0,5.0,2023.0,52.27550765,21.1209683,9.36,7.0,0.474,1.773,0.497,0.547,0.244,3.221,0.353,condominium,no,yes,yes,no,no,615000
apartmentBuilding,45.0,2.0,1.0,2.0,2021.0,52.1797436,21.0990249,8.7,1.0,1.519,3.14,1.776,0.901,0.426,4.529,1.716,condominium,no,yes,yes,no,no,890000
blockOfFlats,31.0,1.0,7.0,10.0,1974.0,52.19376445,20.97368445,4.68,9.0,0.343,0.683,0.369,0.102,0.451,2.029,0.468,condominium,no,yes,yes,no,yes,575000
blockOfFlats,51.0,3.0,4.0,4.0,2024.0,52.20484,21.06762,5.29,7.0,0.875,1.569,1.033,0.522,0.305,2.703,0.595,condominium,no,yes,yes,yes,no,910000
blockOfFlats,37.0,2.0,2.0,2.0,2003.0,52.1733515,21.11239949,9.86,3.0,1.804,3.94,0.894,0.339,0.335,4.708,0.803,condominium,yes,yes,no,no,no,675000
apartmentBuilding,40.3,2.0,6.0,6.0,2012.0,52.22556499,20.94374478,4.13,37.0,0.656,0.037,0.31,0.157,0.043,0.099,0.222,condominium,yes,yes,yes,no,yes,920000
blockOfFlats,76.31,3.0,1.0,7.0,2004.0,52.15727,21.03354,8.53,27.0,0.377,0.315,0.283,0.159,0.1,1.408,0.189,condominium,no,yes,yes,yes,yes,1250000
blockOfFlats,79.0,3.0,9.0,10.0,1988.0,52.1862767,21.01425885,5.1,14.0,0.371,0.47,0.555,0.431,0.113,0.995,0.269,condominium,no,yes,yes,no,no,1380000
blockOfFlats,127.47,4.0,2.0,4.0,1998.0,52.2432526,20.9194878,5.87,7.0,0.281,0.47,0.671,0.249,0.463,1.447,0.124,condominium,yes,yes,no,no,no,2700000
blockOfFlats,33.75,1.0,4.0,11.0,1964.0,52.2310304,21.0407141,2.53,11.0,0.602,0.919,0.298,0.226,0.204,0.752,0.239,condominium,no,yes,yes,no,yes,799000
blockOfFlats,44.3,2.0,3.0,3.0,1963.0,52.20504495,20.97583056,3.52,18.0,0.176,0.592,0.196,0.157,0.138,0.953,0.189,condominium,no,yes,no,no,yes,799000
apartmentBuilding,62.5,2.0,1.0,9.0,2009.0,52.24048195,20.90337058,6.89,15.0,0.512,0.291,0.592,0.195,0.162,2.585,0.201,condominium,yes,no,yes,no,no,1280000
apartmentBuilding,55.61,3.0,13.0,15.0,2017.0,52.2283488,20.9622997,2.83,11.0,0.268,0.416,0.67,0.366,0.355,1.162,0.437,condominium,no,no,yes,no,no,1250000
apartmentBuilding,36.0,2.0,1.0,5.0,2015.0,52.24263,21.08645,5.77,41.0,0.334,0.628,0.248,0.056,0.074,0.379,0.085,condominium,no,yes,yes,no,no,980000
blockOfFlats,41.5,2.0,8.0,11.0,1976.0,52.22772,20.908,6.52,21.0,0.396,0.539,0.014,0.178,0.409,2.524,0.302,condominium,no,yes,yes,no,yes,639000
blockOfFlats,38.0,2.0,2.0,4.0,1953.0,52.20582315,21.04488756,4.03,20.0,0.26,0.431,0.568,0.338,0.402,2.019,0.066,condominium,no,no,no,no,yes,650000
apartmentBuilding,40.0,2.0,3.0,4.0,2019.0,52.16962235,21.11005751,10.02,8.0,1.535,3.789,0.471,0.467,0.247,4.277,0.389,condominium,yes,yes,yes,no,no,1180000
blockOfFlats,57.0,2.0,1.0,4.0,2000.0,52.33476855,20.93798364,12.3,15.0,0.57,1.174,0.293,0.294,0.108,2.541,0.118,condominium,yes,yes,no,no,no,769500
blockOfFlats,47.68,2.0,3.0,4.0,1957.0,52.26340325,21.03242265,4.03,31.0,0.159,0.168,0.288,0.049,0.413,0.417,0.208,condominium,no,no,no,no,yes,762880
blockOfFlats,68.5,3.0,4.0,4.0,2011.0,52.18898,20.911,7.9,10.0,0.365,3.078,0.365,0.187,0.196,4.728,0.355,condominium,no,no,yes,no,no,1115000
